FKZ;Referat;Behörde/PT;Arbeits-einheit;Förderart;Thema;Laufzeit von;Laufzeit bis; Bundesmittel 2012 ; IST-Ausgaben 2012 ;Zielland;
2508AHG000;MII7;BVA;IIA5;Direkte Projektförderung;"Förderung der deutschen Minderheit in der Russischen Föderation; hier Nordwest-Russland; in den Arbeitsfeldern Begegnungsstätten; Jugend; deutsche Sprache; Selbstorganisation; Eliten; soziale Hilfen; Partnerschaften";01.01.2008;31.12.2012;4576897 ;4576897 ;Russland;
2508AHG306;MII7;BVA;IIA5;Direkte Projektförderung;"Förderung der deutschen Minderheit in der Russischen Föderation; hier Südwest-Russland; in den Arbeitsfeldern Begegnungsstätten; Jugend; deutsche Sprache; Selbstorganisation; Eliten; soziale Hilfen; Partnerschaften";01.01.2008;31.12.2012;397462 ;397462 ;Russland;
2508AHG600;MII7;BVA;IIA5;Direkte Projektförderung;"Förderung der deutschen Minderheit in der Russischen Föderation; hier Sibirien; in den Arbeitsfeldern Begegnungsstätten; Jugend; deutsche Sprache; Selbstorganisation; Eliten; soziale Hilfen; Partnerschaften";01.01.2008;31.12.2012;2160641 ;2160641 ;Russland;
2508AHK501;MII7;BVA;IIA5;Direkte Projektförderung;"Förderung der deutschen Minderheit in Zentralasien in den Arbeitsfeldern Begegnungsstätten; Jugend; deutsche Sprache; Selbstorganisation; Eliten; soziale Hilfen; Partnerschaften";01.01.2008;31.12.2012;1878000 ;1878000 ;Kasachstan;
2508AHU005;MII7;BVA;IIA5;Direkte Projektförderung;"Förderung der deutschen Minderheit in der Ukraine in den Arbeitsfeldern Begegnungsstätten; Jugend; deutsche Sprache; Selbstorganisation; Eliten; soziale Hilfen; Partnerschaften";01.01.2008;31.12.2012;843000 ;843000 ;Ukraine;
2510AHG001;MII7;BVA;IIA5;Direkte Projektförderung;Treuhänd. Verw. Anteile Stiftung Königsberg;01.10.2010;31.12.2013;29238 ;29238 ;Russland;
2511AHG002;MII7;BVA;IIA5;Direkte Projektförderung;Reparaturen und Instandhaltung Deutsch-Russisches Haus Moskau;01.01.2011;31.12.2012;26837 ;26837 ;Russland;
2511AHH603;MII7;BVA;IIA5;Direkte Projektförderung;Hilfen des BMI für die deutschen Minderheiten in den baltischen Staaten verschiedene Projekte der einzelnen Vereine der DMI;01.01.2011;31.12.2012;31438 ;3349 ;Litauen, Lettland, Estland;
2511AHP015;MII6;BVA;IIA5;Direkte Projektförderung;"Young Potentials Academy (YOU.PA)""; III. Staffel; OBS";01.08.2011;30.04.2014;284656 ;87449 ;MOE-Staaten;
2512AHG004;MII7;BVA;IIA5;Direkte Projektförderung;"Förderung der deutschen Minderheit in der Russischen Föderation; hier Europ. Russland; in den Arbeitsfeldern Begegnungsstätten; Jugend; deutsche Sprache; Selbstorganisation; Eliten; soziale Hilfen; Partnerschaften";01.07.2012;31.12.2014;1269657 ;1269657 ;Russland;
2512AHG005;MII7;BVA;IIA5;Direkte Projektförderung;Fahrzeuganschaffung Deutsch-Russisches Haus Kaliningrad;01.10.2012;31.12.2012;33864 ;33864 ;Russland;
2512AHG601;MII7;BVA;IIA5;Direkte Projektförderung;"Förderung der deutschen Minderheit in der Russischen Föderation; hier Sibirien; in den Arbeitsfeldern Begegnungsstätten; Jugend; deutsche Sprache; Selbstorganisation; Eliten; soziale Hilfen; Partnerschaften";01.07.2012;31.12.2014;518470 ;518470 ;Russland;
2512AHH001;MII6;BVA;IIA5;Direkte Projektförderung;Fortbildung für Minderheitenselbstverwaltungen und Herausgabe einer Infobroschüre;09.02.2012;31.12.2012;8389 ;8389 ;Ungarn;
2512AHH002;MII6;BVA;IIA5;Direkte Projektförderung;Kommunikationstraining für Abgeordnete der Minderheitenselbstverwaltungen;13.04.2012;31.12.2012;20415 ;20415 ;Ungarn;
2512AHH003;MII6;BVA;IIA5;Direkte Projektförderung;Programme des Landesrates;01.04.2012;31.12.2012;21940 ;21940 ;Ungarn;
2512AHH004;MII6;BVA;IIA5;Direkte Projektförderung;Notrufsystem für das Kleinregionale Soziale Dienstleistungszentrum in Siklós;24.05.2012;31.12.2012;11504 ;11504 ;Ungarn;
2512AHH005;MII6;BVA;IIA5;Direkte Projektförderung;"4 Fahrzeuge ""EaR"" (Essen auf Rädern)";25.05.2012;31.12.2012;68566 ;68566 ;Ungarn;
2512AHH006;MII6;BVA;IIA5;Direkte Projektförderung;PC-Ausstattung von 3 Alteneinrichtungen;25.05.2012;31.12.2012;5583 ;5583 ;Ungarn;
2512AHH007;MII6;BVA;IIA5;Direkte Projektförderung;GJU - Programme 2012;07.05.2012;31.12.2012;11451 ;11451 ;Ungarn;
2512AHH008;MII6;BVA;IIA5;Direkte Projektförderung;Förderung von Jugendlagern;01.06.2012;31.12.2012;65820 ;65820 ;Ungarn;
2512AHH009;MII6;BVA;IIA5;Direkte Projektförderung;Programme VUK;01.07.2012;31.12.2012;11545 ;11545 ;Ungarn;
2512AHH010;MII6;BVA;IIA5;Direkte Projektförderung;PC-Ausstattung von 8 Begegnungsstätten;06.08.2012;31.12.2012;12394 ;12394 ;Ungarn;
2512AHH011;MII6;BVA;IIA5;Direkte Projektförderung;Ausstattung von 6 Jugendbegegnungsstätten;01.08.2012;31.12.2012;9220 ;9220 ;Ungarn;
