Datum;Typ;Partei
12.05.1997;Gewinner;SPD
13.05.1997;Gewinner;SPD
21.05.1997;Gewinner;FDP
02.06.1997;Gewinner;Union
06.06.1997;Gewinner;Union
11.06.1997;Gewinner;Union
12.06.1997;Verlierer;Union
14.06.1997;Gewinner;SPD
17.06.1997;Gewinner;Grüne
18.06.1997;Gewinner;Union
24.06.1997;Verlierer;Linke
09.07.1997;Verlierer;Grüne
12.07.1997;Gewinner;SPD
21.07.1997;Gewinner;Union
07.08.1997;Verlierer;Union
11.08.1997;Verlierer;Union
15.08.1997;Verlierer;Linke
16.08.1997;Gewinner;Union
22.08.1997;Gewinner;Union
26.08.1997;Gewinner;SPD
27.08.1997;Gewinner;SPD
04.09.1997;Gewinner;FDP
04.09.1997;Verlierer;SPD
10.09.1997;Gewinner;Union
11.09.1997;Verlierer;Union
18.09.1997;Gewinner;SPD
20.09.1997;Gewinner;Union
25.09.1997;Verlierer;Union
13.10.1997;Verlierer;Union
14.10.1997;Verlierer;Linke
16.10.1997;Gewinner;Union
18.10.1997;Gewinner;SPD
27.10.1997;Gewinner;Union
31.10.1997;Gewinner;Union
05.11.1997;Gewinner;Union
05.11.1997;Verlierer;FDP
10.11.1997;Gewinner;FDP
14.11.1997;Verlierer;Linke
15.11.1997;Verlierer;SPD
17.11.1997;Gewinner;Union
18.11.1997;Gewinner;SPD
18.11.1997;Verlierer;SPD
19.11.1997;Gewinner;SPD
28.11.1997;Gewinner;SPD
28.11.1997;Verlierer;Grüne
29.11.1997;Gewinner;SPD
29.11.1997;Verlierer;SPD
01.12.1997;Verlierer;Linke
02.12.1997;Verlierer;FDP
04.12.1997;Gewinner;FDP
08.12.1997;Verlierer;Linke
12.12.1997;Verlierer;Union
16.12.1997;Gewinner;Union
17.12.1997;Gewinner;Union
23.12.1997;Gewinner;Union
05.01.1998;Verlierer;Union
06.01.1998;Gewinner;SPD
10.01.1998;Gewinner;Union
13.01.1998;Verlierer;SPD
20.01.1998;Gewinner;Union
21.01.1998;Verlierer;Union
23.01.1998;Verlierer;Union
24.01.1998;Gewinner;SPD
24.01.1998;Verlierer;Linke
26.01.1998;Verlierer;Union
29.01.1998;Gewinner;FDP
29.01.1998;Verlierer;Union
04.02.1998;Verlierer;Union
05.02.1998;Gewinner;Union
07.02.1998;Verlierer;Grüne
10.02.1998;Gewinner;FDP
14.02.1998;Gewinner;SPD
16.02.1998;Gewinner;SPD
23.02.1998;Verlierer;SPD
09.03.1998;Verlierer;SPD
10.03.1998;Gewinner;Union
12.03.1998;Verlierer;FDP
17.03.1998;Gewinner;Union
17.03.1998;Verlierer;SPD
18.03.1998;Verlierer;Linke
20.03.1998;Gewinner;SPD
23.03.1998;Gewinner;Union
24.03.1998;Gewinner;Union
27.03.1998;Verlierer;Union
28.03.1998;Verlierer;FDP
02.04.1998;Gewinner;Union
04.04.1998;Gewinner;FDP
07.04.1998;Verlierer;Grüne
11.04.1998;Gewinner;Union
15.04.1998;Verlierer;SPD
24.04.1998;Verlierer;Linke
25.04.1998;Verlierer;SPD
29.04.1998;Gewinner;FDP
30.04.1998;Gewinner;Union
05.05.1998;Verlierer;Union
07.05.1998;Gewinner;FDP
07.05.1998;Verlierer;Grüne
13.05.1998;Verlierer;Union
18.05.1998;Verlierer;Union
23.05.1998;Gewinner;Union
27.05.1998;Verlierer;SPD
28.05.1998;Gewinner;SPD
29.05.1998;Verlierer;Linke
30.05.1998;Verlierer;Union
06.06.1998;Gewinner;SPD
13.06.1998;Verlierer;SPD
17.06.1998;Gewinner;Grüne
19.06.1998;Verlierer;Linke
20.06.1998;Verlierer;Union
22.06.1998;Gewinner;Union
23.06.1998;Gewinner;Union
24.06.1998;Verlierer;FDP
25.06.1998;Gewinner;SPD
25.06.1998;Verlierer;SPD
26.06.1998;Gewinner;SPD
26.06.1998;Verlierer;Grüne
27.06.1998;Gewinner;Union
29.06.1998;Verlierer;SPD
02.07.1998;Verlierer;Union
04.07.1998;Gewinner;SPD
07.07.1998;Gewinner;SPD
13.07.1998;Verlierer;Union
14.07.1998;Gewinner;Union
21.07.1998;Verlierer;Linke
27.07.1998;Verlierer;SPD
29.07.1998;Verlierer;FDP
31.07.1998;Verlierer;SPD
01.08.1998;Gewinner;SPD
04.08.1998;Verlierer;Grüne
06.08.1998;Verlierer;Union
08.08.1998;Verlierer;Union
13.08.1998;Gewinner;Union
15.08.1998;Verlierer;Grüne
17.08.1998;Verlierer;Union
19.08.1998;Verlierer;Union
24.08.1998;Verlierer;SPD
28.08.1998;Verlierer;Linke
31.08.1998;Gewinner;Union
01.09.1998;Gewinner;Union
01.09.1998;Verlierer;Grüne
11.09.1998;Verlierer;Union
14.09.1998;Verlierer;SPD
15.09.1998;Verlierer;Union
17.09.1998;Gewinner;SPD
17.09.1998;Verlierer;Linke
23.09.1998;Verlierer;Grüne
05.10.1998;Gewinner;FDP
10.10.1998;Gewinner;SPD
12.10.1998;Gewinner;Union
15.10.1998;Verlierer;Union
16.10.1998;Gewinner;Union
17.10.1998;Gewinner;SPD
19.10.1998;Gewinner;SPD
20.10.1998;Gewinner;SPD
21.10.1998;Verlierer;Union
23.10.1998;Gewinner;Union
26.10.1998;Gewinner;SPD
02.11.1998;Verlierer;Union
03.11.1998;Gewinner;SPD
11.11.1998;Gewinner;SPD
14.11.1998;Gewinner;FDP
16.11.1998;Gewinner;SPD
17.11.1998;Gewinner;SPD
24.11.1998;Verlierer;SPD
25.11.1998;Gewinner;SPD
25.11.1998;Verlierer;FDP
03.12.1998;Gewinner;SPD
03.12.1998;Verlierer;Grüne
08.12.1998;Gewinner;SPD
15.12.1998;Gewinner;Union
17.12.1998;Gewinner;FDP
24.12.1998;Gewinner;SPD
29.12.1998;Gewinner;SPD
30.12.1998;Gewinner;FDP
30.12.1998;Verlierer;Grüne
31.12.1998;Gewinner;SPD
04.01.1999;Gewinner;Union
08.01.1999;Verlierer;SPD
09.01.1999;Verlierer;Linke
11.01.1999;Gewinner;SPD
12.01.1999;Gewinner;SPD
16.01.1999;Verlierer;Union
19.01.1999;Gewinner;SPD
19.01.1999;Verlierer;Union
