Von,Nach,Dringlichkeit,Link_Projektbeschreibung,Verkehrsträger,Stimmen,Quote_notwendig,notwendig_ja,notwendig_nein,notwendig_weiss_nicht,betroffen_häufig,betroffe_selten,betroffe_nie
ABS Ulm - Friedrichshafen - Lindau (Südbahn),,VB,http://bvwp-projekte.de/schiene/2-001-V02/2-001-V02.html,schiene,310,0.926,287,19,4,168,117,25
ABS/NBS Hanau - Würzburg / Fulda - Erfurt,,VB,http://bvwp-projekte.de/schiene/2-002-V02/2-002-V02.html,schiene,125,0.92,115,9,1,86,30,9
Optimiertes Alpha-E,,VB,http://bvwp-projekte.de/schiene/2-003-V02/2-003-V02.html,schiene,328,0.808,265,56,7,176,104,48
Korridor Mittelrhein: Zielnetz II,,PB,http://bvwp-projekte.de/schiene/2-004-V04/2-004-V04.html,schiene,545,0.864,471,53,21,317,162,66
ABS/NBS Karlsruhe - Basel (BAB-Trasse),,VB,http://bvwp-projekte.de/schiene/2-005-V02/2-005-V02.html,schiene,360,0.958,345,12,3,224,123,13
ABS/NBS Hanau - Fulda - Erfurt / Aschaffenburg - Nantenbach,,VB,http://bvwp-projekte.de/schiene/2-007-V01/2-007-V01.html,schiene,479,0.925,443,25,11,332,125,22
ABS München - Mühldorf - Freilassing,,VB,http://bvwp-projekte.de/schiene/2-008-V02/2-008-V02.html,schiene,184,0.951,175,7,2,101,60,23
ABS/NBS München - Rosenheim - Kiefersfelden - Grenze D/A (- Kufstein),,VB,http://bvwp-projekte.de/schiene/2-009-V03/2-009-V03.html,schiene,237,0.89,211,21,5,133,79,25
ABS/NBS Nürnberg - Erfurt (VDE 8.1),,VB,http://bvwp-projekte.de/schiene/2-010-V02/2-010-V02.html,schiene,146,0.87,127,16,3,98,38,10
ABS/NBS Hamburg - Lübeck - Puttgarden (Hinterlandanbindung FBQ),,VB,http://bvwp-projekte.de/schiene/2-011-V01/2-011-V01.html,schiene,371,0.852,316,49,6,149,172,50
ABS Burgsinn - Gemünden - Würzburg - Nürnberg,,VB-E,http://bvwp-projekte.de/schiene/2-013-V01/2-013-V01.html,schiene,268,0.937,251,10,7,175,83,10
ABS Nürnberg - Passau,,VB,http://bvwp-projekte.de/schiene/2-014-V01/2-014-V01.html,schiene,130,0.885,115,12,3,71,48,11
ABS/NBS Hannover - Bielefeld,,VB,http://bvwp-projekte.de/schiene/2-016-V01/2-016-V01.html,schiene,357,0.608,217,132,8,179,96,82
ABS Uelzen - Stendal - Magdeburg - Halle (Ostkorridor Nord),,VB-E,http://bvwp-projekte.de/schiene/2-018-V01/2-018-V01.html,schiene,213,0.873,186,20,7,104,81,28
