SURVIVOR;DD/MMM;/YEAR;RESULT;RD;DECEASED;AGE;MV;ALPHA;CITY;STATE/CTY/PROV;COUNTRY;WEIGHT;SOURCE/REMARKS;CHAMPIONSHIP;PRO/AM/TOUGHMAN;TYPE;WHERE;CAUSALITY/LEGAL;;
Richard Teeling;14-May;1725;KO; ;Job Dixon;; ;dixon;Covent Garden (Pest Fields);London;England;ND;"Ipswich Journal, June 25, 1725; London Journal, July 3, 1725; (London) Parker's Penny Post, July 14, 1725; Old Bailey Proceedings Online (www.oldbaileyonline.org), Richard Teeling, killing: murder, 30th June, 1725. The Proceedings of the Old Bailey Ref: t17250630-26. Covent Garden was a major entertainment district in London. Both men were hackney coachmen. Dixon and another man, John Francis, had fought six or seven minutes. Francis tired, and quit. Dixon  challenged anyone else. Teeling accepted. They briefly scuffled, and then Dixon fell and did not get up. He was carried home, where he died next day.The surgeon and apothecary opined that cause of death was either skull fracture or neck fracture. Teeling was convicted of manslaughter, and sentenced to branding. (Branding was on the thumb, with an ""M"" for murder. The idea was that a person could receive the benefit only once. Branding took place in the courtroom, in front of spectators. The practice did not end until the early nineteenth century.)"; ;Pro;Brain injury;Ring;Blows: Manslaughter;;
Simon Small;20-Sep;1724;KO; ;John Lambert; ; ;lambert;Muzzle Hill;Buckinghamshire;England;ND;"Old Bailey Proceedings Online (www.oldbaileyonline.org, version 6.0, 05 December 2011), February 1725, trial of Simon Small (t17250224-66). The two men fought two times in succession, and a week after the second fight, Lambert died of injuries to his ""Head, Back, Belly, and Privy Members."" The jury acquitted. "; ;Pro;;Later;Misadventure;;
Richard Pritchard;25-Nov;1725;KO;3;William Fenwick; ; ;fenwick;Moorfields;London;England;ND;"London Journal, February 12, 1726; (London) British Journal, February 12, 1726; Old Bailey Proceedings Online (www.oldbaileyonline.org), Richard Pritchard, killing: murder, 2nd March, 1726. The Proceedings of the Old Bailey Ref: t17260302-96. The men decided to settle a quarrel with a prizefight. Pritchard knocked Fenwick down three times, using a left to the head. The third time, Fenwick did not get up, and he died an hour later. The surgeon said death was cause by blood ""spilt on the Brains.""  The jury ruled accidental death."; ;Pro;Brain injury;Ring;Misadventure;;
Whitaker;Jan/;1728;KO; ;John Gretton; ; ;gretton;Islington (Copenhagen Fields);London;England;ND;American Weekly Mercury (Philadelphia, Pennsylvania), May 23 1728. The bout took place at Stoake's Amphitheatre and lasted about 25 minutes. Both men were exhausted, and the final blows were given while Whittaker was on his knees and Gretton was on the ground. ; ;Pro;Brain injury;Ring; ;;
Thomas Hargrave;2-Feb;1729;KO;;Henry Hill;; ;hill;London;London;England;ND;"(London) Weekly Journal or British Gazetteer, September 6, 1729; Old Bailey Proceedings Online (www.oldbaileyonline.org), Thomas Hargrave, killing : murder, 27th August, 1729. The Proceedings of the Old Bailey Ref: t17290827-4. The two men fought for half a crown. Hargrave won the bout, and the two men went to an alehouse to have a drink. Hill put his head against the chimney, and died. The surgeon found much blood in Hill's abdomen, and attributed death to the bursting of blood vessels during a fall. Hargrave was convicted of manslaughter and sentenced to branding"; ;Pro;;Ring;Fall: Manslaughter;;
Richard Wells;21-May;1730;KO; ;Samuel Biggs; ; ;biggs;London;London;England;ND;"Old Bailey Proceedings Online (www.oldbaileyonline.org, version 6.0, 05 December 2011), June 1731, trial of Richard Wells (t17310602-19). Biggs had thrown Wells at least two times before Wells through Biggs. However, when he fell, Biggs struck his head on a cartwheel. He remained unconscious following the fall, and died following morning. The surgeon said there was no fracture of the skull, but on autopsy, there was more than four ounces of coagulated blood on the brain. The jury ruled manslaughter; the punishment was branding.";;Pro;Brain injury;Ring;Fall: Manslaughter;;
Phillips;Oct/;1730;KO; ;Lloyd; ; ;lloyd;St. James;London;England;ND;(London) Daily Post, October 17, 1730. The verdict was that Lloyd died a natural death. The constable disagreed, and he and the coroner began physically fighting in the courtroom.; ;Pro;;Ring;Misadventure;;
William Emerson;ND;1732;KO; ;Andrew Reed;;;reed;Great Yarmouth;Norfolk;England;ND;Charles John Palmer, The Perlustration of Great Yarmouth,with Goreston and Southtown, (Great Yarmouth: George Nall, 1872), 89.; ;Pro;;Ring; ; ;
Joseph Greenfield;22-May;1734;KO; ;John Jones; ; ;jones;Hampstead;London;England;ND;"London Evening Post, May 30, 1734; Old Bailey Proceedings Online (www.oldbaileyonline.org), Joseph Greenfield, killing: murder, 30th June, 1734. The Proceedings of the Old Bailey Ref: t17340630-3. From the Old Bailey: ""The Deceas'd said, he'd fight any Man for a Crown. The Prisoner, who was a Stranger to him, began to strip; but said he had not a Crown to venture, and so the Deceas'd and he agreed to fight for Love, as they call'd it. They boxt fairly; the Deceas'd had the better, and the Prisoner said he would fight no more, in the Nine-pin-Ground among Black-guards; but would fight it out in a Room. The Deceas'd was for having it out in the Ground. Then the Prisoner clapp'd him on the Back, and call'd him a good Lad. They shook Hand three times very lovingly, and went to boxing again. The Prisoner struck the Deceas'd upon the Temples, which made him stagger, and as he was falling the Prisoner kick'd him on the Breast and the Groin, and he fell down, and lay for dead; but he was brought a little to himself in about half an Hour. This was on a Wednesday, and he dyed on the Saturday following."" Greenfield was convicted of manslaughter."; ;Pro;Brain injury;Ring;Blows: Manslaughter;;
ND;26-Aug;1735;KO; ;ND ; ; ;nd;Dublin;Dublin;Ireland;ND;Boston (Massachusetts) News-Letter, February 13, 1735. Two gentlemen's servants were boxing in the street. Squire Westley's coachman went to the stable, vomited blood, and died.; ;Pro;Brain injury;Ring;;;
