Quellen: Statistische Ämter des Bundes und der Länder; Statistisches Bundesamt; eigene Berechnungen,,,,,,
,,,,,,
AGS,Gemeindename,Bundesland,Einwohner laut bisheriger amtlicher Fortschreibung am 30. April 2011,Einwohner am 9. Mai 2011 laut Zensus 2011 ,absolute Differenz,relative Differenz in Prozent
k010010000000,Flensburg,Schleswig-Holstein,88.771,82.258,6513,"7,3"
k010020000000,Kiel,Schleswig-Holstein,239.725,235.782,3943,"1,6"
k010030000000,Lübeck,Schleswig-Holstein,210.203,210.305,-102,"0,0"
k010040000000,Neumünster,Schleswig-Holstein,76.886,77.249,-363,"-0,5"
k010510011011,Brunsbüttel,Schleswig-Holstein,13.075,12.834,241,"1,8"
k010510044044,Heide,Schleswig-Holstein,20.872,20.768,104,"0,5"
k010515163003,Averlak,Schleswig-Holstein,601,615,-14,"-2,3"
k010515163010,Brickeln,Schleswig-Holstein,210,208,2,"1,0"
k010515163012,Buchholz,Schleswig-Holstein,1.073,1.080,-7,"-0,7"
k010515163016,Burg (Dithmarschen),Schleswig-Holstein,4.204,4.219,-15,"-0,4"
k010515163022,Dingen,Schleswig-Holstein,663,658,5,"0,8"
k010515163024,Eddelak,Schleswig-Holstein,1.352,1.398,-46,"-3,4"
k010515163026,Eggstedt,Schleswig-Holstein,772,772,0,"0,0"
k010515163032,Frestedt,Schleswig-Holstein,377,374,3,"0,8"
k010515163037,Großenrade,Schleswig-Holstein,508,493,15,"3,0"
k010515163051,Hochdonn,Schleswig-Holstein,1.225,1.193,32,"2,6"
k010515163064,Kuden,Schleswig-Holstein,656,637,19,"2,9"
k010515163089,Quickborn,Schleswig-Holstein,209,201,8,"3,8"
k010515163097,Sankt Michaelisdonn,Schleswig-Holstein,3.641,3.618,23,"0,6"
k010515163110,Süderhastedt,Schleswig-Holstein,856,851,5,"0,6"
k010515166021,Diekhusen-Fahrstedt,Schleswig-Holstein,759,762,-3,"-0,4"
k010515166034,Friedrichskoog,Schleswig-Holstein,2.451,2.491,-40,"-1,6"
k010515166046,Helse,Schleswig-Holstein,945,911,34,"3,6"
k010515166057,Kaiser-Wilhelm-Koog,Schleswig-Holstein,377,350,27,"7,2"
k010515166062,Kronprinzenkoog,Schleswig-Holstein,869,842,27,"3,1"
k010515166072,Marne,Schleswig-Holstein,5.807,5.727,80,"1,4"
k010515166073,Marnerdeich,Schleswig-Holstein,339,402,-63,"-18,6"
k010515166076,Neufeld,Schleswig-Holstein,605,617,-12,"-2,0"
k010515166077,Neufelderkoog,Schleswig-Holstein,167,132,35,"21,0"
k010515166090,Ramhusen,Schleswig-Holstein,164,163,1,"0,6"
k010515166103,Schmedeswurth,Schleswig-Holstein,196,200,-4,"-2,0"
k010515166118,Trennewurth,Schleswig-Holstein,259,259,0,"0,0"
k010515166119,Volsemenhusen,Schleswig-Holstein,360,358,2,"0,6"
k010515169005,Barkenholm,Schleswig-Holstein,171,171,0,"0,0"
k010515169008, ,Schleswig-Holstein,32,34,-2,"-6,3"
k010515169019,Dellstedt,Schleswig-Holstein,790,775,15,"1,9"
k010515169020,Delve,Schleswig-Holstein,714,714,0,"0,0"
k010515169023,Dörpling,Schleswig-Holstein,631,621,10,"1,6"
k010515169030,Fedderingen,Schleswig-Holstein,279,274,5,"1,8"
k010515169035,Gaushorn,Schleswig-Holstein,196,183,13,"6,6"
k010515169036,Glüsing,Schleswig-Holstein,115,118,-3,"-2,6"
k010515169038,Groven,Schleswig-Holstein,131,91,40,"30,5"
k010515169047,Hemme,Schleswig-Holstein,552,516,36,"6,5"
k010515169049,Hennstedt,Schleswig-Holstein,1.916,1.951,-35,"-1,8"
k010515169052,Hövede,Schleswig-Holstein,67,68,-1,"-1,5"
k010515169053,Hollingstedt,Schleswig-Holstein,301,320,-19,"-6,3"
k010515169058,Karolinenkoog,Schleswig-Holstein,128,138,-10,"-7,8"
k010515169060,Kleve,Schleswig-Holstein,412,439,-27,"-6,6"
