* skip=18 (so viele Zeilen beim Import dieser Datei überspringen, um als 1. Zeile die Zeile mit den Spaltentiteln einzulesen)
* Copyright:		Jeder kann diese Daten frei und unentgeltlich nutzen 
* Originalquelle: 	Statistisches Bundesamt nach IFG-Antrag von Spiegel Online (gestellt am 27. September 2013, stattgegeben am 08. November 2013 mit zweiwöchiger Fristüberschreitung). Am 08. November 2013 stellte das Statistische Bundesamt den Datensatz als PDF auch zum freien Download online unter https://ergebnisse.zensus2011.de/docs/Zensus_Gemeinden_relativer_Standardfehler.pdf
* Text-Codierung:	Latin-1 (ISO 8859-1)
*
** Spalten:
* 
* 1. RS_12:		Eindeutiger 12-stelliger Regionalschlüssel der Gemeinde (siehe https://de.wikipedia.org/wiki/Amtlicher_Gemeindeschl%C3%BCssel#Regionalschl.C3.BCssel)
* 2. Gemeinde: 		Name der Gemeinde
* 3. Land:		Bundesland, in dem die Gemeinde liegt
* 4. Kreis:		Kreis, in dem die Gemeinde liegt
* 5. Teil_Nr:		Nummer des Stadtteils, wenn die Stichprobe auf Stadtteil-Ebene erhoben wurde
* 6. Teil_Name:		Name des Stadtteils, wenn die Stichprobe auf Stadtteil-Ebene erhoben wurde; die Stadtteile wurden nicht immer benannt und entsprachen nicht immer echten Untergliederungen der Stadt  
* 			siehe auch gesonderte Datei "Stichprobenfehler_Zensus_Stadtteile_Erklaerung_Destatis_latin1.txt"
* 7. Fehler_Gem:	Stichprobenfehler ("einfacher relativer Standardfehler") der Gemeinde insgesamt in Prozent (auch, wenn die Stichprobe auf Stadtteil-Ebene erhoben wurde)
* 8. Fehler_Teil:	Stichprobenfehler des Stadtteils, wenn die Stichprobe auf Stadtteil-Ebene erhoben wurde
*
*
"RS_12";"Gemeinde";"Land";"Kreis";Teil_Nr;"Teil-Name";Fehler_Gem;Fehler_Teil
"110000000000";"Berlin";"Berlin";"Berlin, Stadt";1;"Mitte";0,13;0,52
"110000000000";"Berlin";"Berlin";"Berlin, Stadt";2;"Friedrichshain-Kreuzberg";0,13;0,48
"110000000000";"Berlin";"Berlin";"Berlin, Stadt";3;"Pankow";0,13;0,37
"110000000000";"Berlin";"Berlin";"Berlin, Stadt";4;"Charlottenburg-Wilmersdorf";0,13;0,48
"110000000000";"Berlin";"Berlin";"Berlin, Stadt";5;"Spandau";0,13;0,45
"110000000000";"Berlin";"Berlin";"Berlin, Stadt";6;"Steglitz-Zehlendorf";0,13;0,5
"110000000000";"Berlin";"Berlin";"Berlin, Stadt";7;"Tempelhof-Schöneberg";0,13;0,49
"110000000000";"Berlin";"Berlin";"Berlin, Stadt";8;"Neukölln";0,13;0,49
"110000000000";"Berlin";"Berlin";"Berlin, Stadt";9;"Treptow-Köpenick";0,13;0,43
"110000000000";"Berlin";"Berlin";"Berlin, Stadt";10;"Marzahn-Hellersdorf";0,13;0,34
"110000000000";"Berlin";"Berlin";"Berlin, Stadt";11;"Lichtenberg";0,13;0,4
"110000000000";"Berlin";"Berlin";"Berlin, Stadt";12;"Reinickendorf";0,13;0,42
"020000000000";"Hamburg";"Hamburg";"Hamburg, Freie und Hansestadt";1;"Hamburg-Mitte";0,21;0,58
"020000000000";"Hamburg";"Hamburg";"Hamburg, Freie und Hansestadt";2;"Altona";0,21;0,57
"020000000000";"Hamburg";"Hamburg";"Hamburg, Freie und Hansestadt";3;"Eimsbüttel";0,21;0,6
"020000000000";"Hamburg";"Hamburg";"Hamburg, Freie und Hansestadt";4;"Hamburg-Nord";0,21;0,53
"020000000000";"Hamburg";"Hamburg";"Hamburg, Freie und Hansestadt";5;"Wandsbek";0,21;0,43
